relevance_score,questions,categories,title,authors,year,type,venue,publisher,doi,cited_by_count,is_oa,landing_url,oa_url,openalex_id,abstract
13.67,"Q1,Q10,Q2,Q3,Q4,Q5",Ra-226 fast-neutron pathway; Ra-226 nuclear data,Production and Decay Properties of Thorium Isotopes of Mass 221-224 Formed in Heavy-Ion Reactions,K. Valli; Earl K. Hyde; J. Borggreen,1970,article,Physical Review C,American Institute of Physics,10.1103/physrevc.1.2115,73,True,https://doi.org/10.1103/physrevc.1.2115,https://escholarship.org/content/qt9bp2f39g/qt9bp2f39g.pdf,https://openalex.org/W2049517408,"In order to search for new neutron-deficient isotopes of uranium and thorium, targets of $^{209}\mathrm{Bi}$ and $^{208}\mathrm{Pb}$ were bombarded with beams of $^{22}\mathrm{Ne}$, $^{20}\mathrm{Ne}$, $^{19}\mathrm{F}$, $^{18}\mathrm{O}$, $^{16}\mathrm{O}$, $^{14}\mathrm{N}$, and $^{12}\mathrm{C}$ in the Berkeley HILAC. The reaction products were transported from the reaction cell by the helium-jet technique and their $\ensuremath{\alpha}$-disintegration characteristics measured by on-line techniques of $\ensuremath{\alpha}$ spectroscopy. Energy values, excitation functions, and half-lives of $\ensuremath{\alpha}$-particle groups were measured. Only fragmentary evidence for uranium nuclei was found, because of intense losses by nuclear fission, but definite proof was obtained for the previously unknown millisecond isotopes $^{222}\mathrm{Th}$ and $^{221}\mathrm{Th}$, and for their decay products $^{218}\mathrm{Ra}$, $^{214}\mathrm{Rn}$, $^{217}\mathrm{Ra}$, and $^{213}\mathrm{Rn}$. Improvements were made on the literature values for $^{223}\mathrm{Th}$ and its decay products.The new $\ensuremath{\alpha}$ data help greatly in the determination of the trends in $\ensuremath{\alpha}$-decay energies for isotopes of even-$Z$ elements, particularly in the poorly defined region just above the 126 neutron shell. This allows the preparation of a more reliable set of predictions for many unknown nuclei."
13.63,"Q1,Q2,Q7,Q9",Nuclear surrogate optimization,Multiobjective location analysis of regional energy facility siting problems,Richard L. Church; Jared L. Cohon,1976,report,Brookhaven National Laboratory (BNL),,10.2172/7294043,72,True,https://doi.org/10.2172/7294043,https://www.osti.gov/servlets/purl/7294043,https://openalex.org/W1515236301,"This report is one of a continuing series of policy analysis and model development studies in the area of energy facility siting prepared by the Brookhaven National Laboratory Regional Energy Studies Program. At Oak Ridge National Laboratory a sophisticated approach based on political interaction analysis has been developed as an adjunct to their siting model, allowing resolution of regional siting issues in the context of a prediction of political feasibility (Yaffee, 1976). And at Brookhaven, emphasis has been on the development of operations research approaches that could interface with the ensemble of energy systems analysis models resident at BNL's National Center for Analysis of Energy Systems, and the regional environmental impact models at the BNL Atmospheric and Oceanographic Sciences divisions (Meier, 1975). As an initial step in the development of such an operations research approach to regional siting policy analysis, this report presents an exploratory analysis of two areas of inquiry that appear especially promising. The first, examined in Chapter II, rests on the application of location theory, an area of inquiry that has seen a strong resurgence in the recent mathematical geography and regional economics literature as a result of its ability to address a rather large number of facility planning problems, in both the private and public sectors. The second area of inquiry, the focus of Chapter III, is multi-objective programming, a formalization of the notion that siting decision making is an adversary process, in which a resolution of conflicting objectives is the key issue. Multi-objective location modeling, a merger of the two areas of inquiry, may provide a useful analytical framework for regional energy planning. The Regional Energy Facility Location Model, which is based on such a merger, is presented in Chapter IV, and various extensions of the basic model formulation are presented in Appendices."
13.61,"Q1,Q10,Q4,Q5",Depletion solver validation,ON-LINE INTERROGATION OF PEBBLE BED REACTOR FUEL USING PASSIVE GAMMA-RAY SPECTROMETRY,Jianwei Chen,2004,article,OhioLink ETD Center (Ohio Library and Information Network),Ohio Library and Information Network,,9,True,http://rave.ohiolink.edu/etdc/view?acc_num=ucin1096255485,http://rave.ohiolink.edu/etdc/view?acc_num=ucin1096255485,https://openalex.org/W1665474241,"The Pebble Bed Reactor (PBR) is a helium-cooled, graphite-moderated high temperature nuclear power reactor.In addition to its inherently safe design, a unique feature of this reactor is its multipass fuel cycle in which graphite fuel pebbles (of varying enrichment) are randomly loaded and continuously circulated through the core until they reach their prescribed end-of-life burnup limit (~ 80,000-100,000 MWD/MTU).Unlike the situation with conventional light water reactors (LWRs), depending solely on computational methods to perform in-core fuel management will be highly inaccurate.As a result, an on-line measurement approach becomes the only accurate method to assess whether a particular pebble has reached its end-of-life burnup limit.In this work, an investigation was performed to assess the feasibility of passive gamma-ray spectrometry assay as an approach for on-line interrogation of PBR fuel for the simultaneous determination of burnup and enrichment on a pebble-by-pebble basis.Due to the unavailability of irradiated or fresh pebbles, Monte Carlo simulations were used to study the gamma-ray spectra of the PBR fuel at various levels of burnup.A pebble depletion calculation was performed using the ORIGEN code, which yielded the gamma-ray source term that was introduced into the input of an MCNP simulation.The MCNP simulation assumed the use of a high-purity coaxial germanium detector.Due to the lack of one-group high temperature reactor cross sections for ORIGEN, a heterogeneous MCNP model was developed to describe a typical PBR core.Subsequently, the code MONTEBURNS was used to couple the MCNP model and ORIGEN.This approach allowed the development of the burnup-dependent, one-group"
13.59,"Q4,Q5,Q6",Physics-informed stiff dynamics,Adaptive weighting of Bayesian physics informed neural networks for multitask and multiscale forward and inverse problems,Sarah Perez; Suryanarayana Maddu; Ivo F. Sbalzarini; Philippe Poncet,2023,article,Journal of Computational Physics,Elsevier BV,10.1016/j.jcp.2023.112342,46,True,https://doi.org/10.1016/j.jcp.2023.112342,https://doi.org/10.1016/j.jcp.2023.112342,https://openalex.org/W4383558850,"In this paper, we present a novel methodology for automatic adaptive weighting of Bayesian Physics-Informed Neural Networks (BPINNs), and we demonstrate that this makes it possible to robustly address multi-objective and multiscale problems. BPINNs are a popular framework for data assimilation, combining the constraints of Uncertainty Quantification (UQ) and Partial Differential Equation (PDE). The relative weights of the BPINN target distribution terms are directly related to the inherent uncertainty in the respective learning tasks. Yet, they are usually manually set a-priori, that can lead to pathological behavior, stability concerns, and to conflicts between tasks which are obstacles that have deterred the use of BPINNs for inverse problems with multiscale dynamics. The present weighting strategy automatically tunes the weights by considering the multitask nature of target posterior distribution. We show that this remedies the failure modes of BPINNs and provides efficient exploration of the optimal Pareto front. This leads to better convergence and stability of BPINN training while reducing sampling bias. The determined weights moreover carry information about task uncertainties, reflecting noise levels in the data and adequacy of the PDE model. We demonstrate this in numerical experiments in Sobolev training, and compare them to analytically ε-optimal baseline, and in a multiscale Lokta-Volterra inverse problem. We eventually apply this framework to an inpainting task and an inverse problem, involving latent field recovery for incompressible flow in complex geometries."
13.59,"Q1,Q10,Q3,Q4,Q5,Q8",Depletion numerical methods; Depletion solver validation; Uncertainty and nuclear data,On the estimation of nuclide inventory and decay heat: a review from the EURAD European project,D. Rochman; Francisco Álvarez-Velarde; Ron Dagan; Luca Fiorito; Silja Häkkinen; Marjan Kromar; et al.,2023,article,EPJ Nuclear Sciences & Technologies,EDP Sciences,10.1051/epjn/2022055,21,True,https://doi.org/10.1051/epjn/2022055,https://www.epj-n.org/articles/epjn/pdf/2023/01/epjn220067.pdf,https://openalex.org/W4322580690,"In this work, a study dedicated to the characterization of the neutronics aspect of the Spent Nuclear Fuel (SNF), as part of the European project EURAD (Work Package 8), is presented. Both measured nuclide concentrations from Post Irradiation Examination samples and decay heat from calorimetric measurements are compared to simulations performed by different partners of the project. Based on these detailed studies and data from the published literature, recommendations are proposed with respect to best practices for SNF modelling, as well as biases and uncertainties for a number of important nuclides and the SNF decay heat for a cooling period from 1 to 1000 years. Finally, specific needs are presented for the improvement of current code prediction capabilities."
13.55,"Q5,Q6,Q7,Q8,Q9",Nuclear depletion ML surrogates; Nuclear dynamics and recurrent models,AI‐Driven Advances in Sustainable Materials for Green Energy: From Innovation to Lifecycle Management,Yuehui Xian; Cheng Li; Yangyang Xu; Yumei Zhou; Dezhen Xue,2025,article,SusMat,Wiley,10.1002/sus2.70030,20,True,https://doi.org/10.1002/sus2.70030,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sus2.70030,https://openalex.org/W4413950047,"ABSTRACT Artificial intelligence (AI) is revolutionizing sustainable materials science, yet a comprehensive and timely evaluation of the rapidly evolving AI techniques applied across the entire materials lifecycle remains lacking. This work reviews AI‐driven advances in sustainable materials, specifically focusing on battery materials, thermal management materials, energy conversion materials, and catalysts. The key patterns, capabilities, and limitations of AI are identified across three interconnected phases: sustainable materials design (leveraging predictive and generative models for accelerated discovery), green processing (integrating adaptive synthesis optimization and autonomous experimentation), and extending to lifecycle management (encompassing real‐time monitoring, predictive maintenance, and intelligent recycling). Then, the persistent challenges, including data sparsity, domain‐specific knowledge integration, and limited model generalizability, are investigated, followed by an exploration of emerging solutions such as federated learning for privacy‐preserving data sharing, physics‐informed neural networks for knowledge integration, and multimodal AI for cross‐modal knowledge transfer. Finally, the computational sustainability challenges of AI methods themselves are also discussed. This review highlights key bottlenecks impeding scalable adoption and discuss pathways for realizing the full potential of AI in sustainable materials development."
13.51,"Q5,Q6,Q7,Q8,Q9",Nuclear depletion ML surrogates,Machine learning of LWR spent nuclear fuel assembly decay heat measurements,Bamidele Ebiwonjumi; Alexey Cherezov; Siarhei Dzianisau; Deokjung Lee,2021,article,Nuclear Engineering and Technology,Elsevier BV,10.1016/j.net.2021.05.037,19,True,https://doi.org/10.1016/j.net.2021.05.037,https://www.sciencedirect.com/science/article/pii/S1738573321003120/pdf,https://openalex.org/W3172794160,"Measured decay heat data of light water reactor (LWR) spent nuclear fuel (SNF) assemblies are adopted to train machine learning (ML) models. The measured data is available for fuel assemblies irradiated in commercial reactors operated in the United States and Sweden. The data comes from calorimetric measurements of discharged pressurized water reactor (PWR) and boiling water reactor (BWR) fuel assemblies. 91 and 171 measurements of PWR and BWR assembly decay heat data are used, respectively. Due to the small size of the measurement dataset, we propose: (i) to use the method of multiple runs (ii) to generate and use synthetic data, as large dataset which has similar statistical characteristics as the original dataset. Three ML models are developed based on Gaussian process (GP), support vector machines (SVM) and neural networks (NN), with four inputs including the fuel assembly averaged enrichment, assembly averaged burnup, initial heavy metal mass, and cooling time after discharge. The outcomes of this work are (i) development of ML models which predict LWR fuel assembly decay heat from the four inputs (ii) generation and application of synthetic data which improves the performance of the ML models (iii) uncertainty analysis of the ML models and their predictions."
13.47,"Q5,Q6,Q7,Q9",Closest depletion surrogate competitors,Sustainable and eco-friendly synthesis of biodiesel from novel and non-edible seed oil of Monotheca buxifolia using green nano-catalyst of calcium oxide,Rozina Rozina; Mushtaq Ahmad; Ashraf Y. Elnaggar; Lee Keat Teong; Shazia Sultana; Muhammad Zafar; et al.,2021,article,Energy Conversion and Management X,Elsevier BV,10.1016/j.ecmx.2021.100142,68,True,https://doi.org/10.1016/j.ecmx.2021.100142,https://www.sciencedirect.com/science/article/pii/S2590174521000672/pdf,https://openalex.org/W3216294799,"Presently, biodiesel offers a sustainable and renewable substitute for exhausting fossil fuels such as Petro-diesel. Large scale production of biodiesel could lead to positive outcomes in terms of environmental quality by reducing greenhouse gasses emission and Societal-Economic development. Hence, this research work focused on biodiesel synthesis from novel and non-edible seed oil of Monotheca buxifolia using green nano-particles of calcium oxide synthesized with aqueous leaves extract of Boerhavia procumbens. Advanced techniques like X-Ray Diffraction (XRD), Scanning Electron Microscopy (SEM), and Energy diffraction X-Ray (EDX) were used to characterize calcium oxide nano-particles. High yield of biodiesel (95%) was obtained at optimum reaction conditions such as methanol to oil molar ratio of 9:1, catalyst loading 0.83 (wt.%), reaction time 180 min and temperature 85 °C. Gas Chromatography/Mass spectroscopy (GC/MS) analysis of biodiesel revealed four distinct peaks of methyl esters. Results of Fourier-transform infrared spectroscopy (FTIR) and Nuclear magnetic resonance (NMR) confirmed the formation of methyl esters in biodiesel sample. Fuel properties of biodiesel such as density (0.821 kg/m3), viscosity (5.35 mm2/s), cloud point (-8 ◦C), pour point (-9 ◦C) and flash point (95 ◦C) were found equivalent to international ASTM D-6571, EN 14,214 and China GB/T 20828–2007 standards. It was finally concluded that Monotheca buxifolia is a highly potential, eco-friendly, and cheaper biomass feedstock for biodiesel production."
13.43,"Q5,Q6,Q7,Q9",Closest depletion surrogate competitors,Quantitative imaging and automated fuel pin identification for passive gamma emission tomography,Ming Fang; Yoann Altmann; Daniele Della Latta; Massimiliano Salvatori; Angela Di Fulvio,2021,article,Scientific Reports,Nature Portfolio,10.1038/s41598-021-82031-8,17,True,https://doi.org/10.1038/s41598-021-82031-8,https://www.nature.com/articles/s41598-021-82031-8.pdf,https://openalex.org/W3113968390,"Compliance of member States to the Treaty on the Non-Proliferation of Nuclear Weapons is monitored through nuclear safeguards. The Passive Gamma Emission Tomography (PGET) system is a novel instrument developed within the framework of the International Atomic Energy Agency (IAEA) project JNT 1510, which included the European Commission, Finland, Hungary and Sweden. The PGET is used for the verification of spent nuclear fuel stored in water pools. Advanced image reconstruction techniques are crucial for obtaining high-quality cross-sectional images of the spent-fuel bundle to allow inspectors of the IAEA to monitor nuclear material and promptly identify its diversion. In this work, we have developed a software suite to accurately reconstruct the spent-fuel cross sectional image, automatically identify present fuel rods, and estimate their activity. Unique image reconstruction challenges are posed by the measurement of spent fuel, due to its high activity and the self-attenuation. While the former is mitigated by detector physical collimation, we implemented a linear forward model to model the detector responses to the fuel rods inside the PGET, to account for the latter. The image reconstruction is performed by solving a regularized linear inverse problem using the fast-iterative shrinkage-thresholding algorithm. We have also implemented the traditional filtered back projection (FBP) method based on the inverse Radon transform for comparison and applied both methods to reconstruct images of simulated mockup fuel assemblies. Higher image resolution and fewer reconstruction artifacts were obtained with the inverse-problem approach, with the mean-square-error reduced by 50%, and the structural-similarity improved by 200%. We then used a convolutional neural network (CNN) to automatically identify the bundle type and extract the pin locations from the images; the estimated activity levels finally being compared with the ground truth. The proposed computational methods accurately estimated the activity levels of the present pins, with an associated uncertainty of approximately 5%."
13.39,"Q8,Q9",OOD and scientific surrogate reliability; Scientific ML reliability,"Physics-Informed Machine Learning: A Survey on Problems, Methods and Applications",Zhongkai Hao; Songming Liu; Yichi Zhang; Chengyang Ying; Feng Yao; Hang Su; et al.,2022,preprint,arXiv (Cornell University),Cornell University,10.48550/arxiv.2211.08064,91,True,http://arxiv.org/abs/2211.08064,https://arxiv.org/pdf/2211.08064,https://openalex.org/W4309208391,"Recent advances of data-driven machine learning have revolutionized fields like computer vision, reinforcement learning, and many scientific and engineering domains. In many real-world and scientific problems, systems that generate data are governed by physical laws. Recent work shows that it provides potential benefits for machine learning models by incorporating the physical prior and collected data, which makes the intersection of machine learning and physics become a prevailing paradigm. By integrating the data and mathematical physics models seamlessly, it can guide the machine learning model towards solutions that are physically plausible, improving accuracy and efficiency even in uncertain and high-dimensional contexts. In this survey, we present this learning paradigm called Physics-Informed Machine Learning (PIML) which is to build a model that leverages empirical data and available physical prior knowledge to improve performance on a set of tasks that involve a physical mechanism. We systematically review the recent development of physics-informed machine learning from three perspectives of machine learning tasks, representation of physical prior, and methods for incorporating physical prior. We also propose several important open research problems based on the current trends in the field. We argue that encoding different forms of physical prior into model architectures, optimizers, inference algorithms, and significant domain-specific applications like inverse engineering design and robotic control is far from being fully explored in the field of physics-informed machine learning. We believe that the interdisciplinary research of physics-informed machine learning will significantly propel research progress, foster the creation of more effective machine learning models, and also offer invaluable assistance in addressing long-standing problems in related disciplines."
13.39,"Q1,Q2,Q3,Q4",Ac-225 production and supply,"Dosimetric Significance of the ICRP's Updated Guidance and Models, 1989-2003, and Implications for U.S. Federal Guidance",R. W. Leggett,2003,report,Oak Ridge National Laboratory (ORNL),,10.2172/885731,16,True,https://doi.org/10.2172/885731,https://www.osti.gov/servlets/purl/885731,https://openalex.org/W2165122673,"Over the past two decades the U.S. Environmental Protection Agency (EPA) has issued a series of Federal guidance documents for the purpose of providing the Federal and State agencies with technical information to assist their implementation of radiation protection programs. Currently recommended dose conversion factors, annual limits on intake, and derived air concentrations for intake of radionuclides are tabulated in Federal Guidance Report No. 11 (FGR 11), published in 1988. The tabulations in FGR 11 were based on dosimetric quantities and biokinetic and dosimetric models of the International Commission on Radiological Protection (ICRP) developed for application to occupational exposures. Since the publication of FGR 11 the ICRP has revised some of its dosimetric quantities and its models for workers and has also developed age-specific models and dose conversion factors for intake of radionuclides by members of the public. This report examines the extent of the changes in the inhalation and ingestion dose coefficients of FGR 11 implied by the updated recommendations of the ICRP, both for workers and members of the public."
13.35,"Q4,Q5,Q6",Physics-informed stiff dynamics,Physics-informed attention-based neural network for hyperbolic partial differential equations: application to the Buckley–Leverett problem,Ruben Rodriguez-Torrado; Pablo Jácome Ruiz; Luis Cueto‐Felgueroso; Michael Cerny Green; Tyler Friesen; Sébastien Matringe; et al.,2022,article,Scientific Reports,Nature Portfolio,10.1038/s41598-022-11058-2,90,True,https://doi.org/10.1038/s41598-022-11058-2,https://www.nature.com/articles/s41598-022-11058-2.pdf,https://openalex.org/W4229368245,"Physics-informed neural networks (PINNs) have enabled significant improvements in modelling physical processes described by partial differential equations (PDEs) and are in principle capable of modeling a large variety of differential equations. PINNs are based on simple architectures, and learn the behavior of complex physical systems by optimizing the network parameters to minimize the residual of the underlying PDE. Current network architectures share some of the limitations of classical numerical discretization schemes when applied to non-linear differential equations in continuum mechanics. A paradigmatic example is the solution of hyperbolic conservation laws that develop highly localized nonlinear shock waves. Learning solutions of PDEs with dominant hyperbolic character is a challenge for current PINN approaches, which rely, like most grid-based numerical schemes, on adding artificial dissipation. Here, we address the fundamental question of which network architectures are best suited to learn the complex behavior of non-linear PDEs. We focus on network architecture rather than on residual regularization. Our new methodology, called physics-informed attention-based neural networks (PIANNs), is a combination of recurrent neural networks and attention mechanisms. The attention mechanism adapts the behavior of the deep neural network to the non-linear features of the solution, and break the current limitations of PINNs. We find that PIANNs effectively capture the shock front in a hyperbolic model problem, and are capable of providing high-quality solutions inside the convex hull of the training set."
13.35,"Q10,Q3,Q4",Ra-226 nuclear data,Recoil Techniques in Nuclear Reaction and Fission Studies,B.G. Harvey,1960,article,Annual Review of Nuclear Science,Annual Reviews,10.1146/annurev.ns.10.120160.001315,65,True,https://doi.org/10.1146/annurev.ns.10.120160.001315,https://escholarship.org/content/qt0378g4c5/qt0378g4c5.pdf?t=p0hi2g,https://openalex.org/W2173144678,"Nuclear reactions are traditionally studied by measurement of reaction cross sections, differential cross sections, angular distributions and energy spectra of emitted particles or gamma rays and more recently by measurements of the polarization of emitted particles and angular correlations.Except for radiochemical determinations of reaction cross sections, all these techniques involve the observation of emitted light particles.The momenta and angular distributions of the recoiling product nuclei are connected to the momenta and • angular distxibutions of the emitted particles by the requirements of momentum and energy conservation.Thus the study of the recoiling nuclei may in some cases be an excellent method for obtaining information about a nuclear reaction.Because of their low velocities, the recoil nuclei have short ranges, and scatt.ervery badly.For these reasons, measurements based on emitted light fragments and particles are usually more accurate, but some kinds of information -2cannot be obtained in this way, Such eases arise when the nature of the nuclear reaction leading to a specific product is the subject of interest.For example, measurement .of the spectrum and angular distribution of neutrons emitted from Aul97 under bombardment with 50 Mev helium ions would not easily yield information about the reaction Aul97(a,2n)Tl 199 , because only an insignificant fraction of the total yield of neutrons would arise from this reaction.However, it is possible that the information could be obtained by studying the kinetic energy and angular distribution of the recoiling Tll99 atoms.The essential point is that the Tll99 could be distinguished from the other products by means of its chemical and radioactive decay properties, whereas the neutrons from the (a,2n.)reaction are of course indistinguishable from those of the (a,3n) and higher reactions.Recoil studies are particularly useful when a large number of different nuclear reaction products are formed simultaneously, for example in the study of fission and of high energy spallation reactions.The results which have been obtained are usually only semi-quantitative, for a variety of reasons.First the formation of a wide range of products in a single bombardment necessarily ,_, ' -' (; ' i'"
13.35,"Q5,Q6,Q8",Physics-informed nuclear dynamics,Machine learning-assisted heat transport modelling for full-scale emplacement experiment at Mont Terri underground laboratory,Guang Hu; Wilfried Pfingsten,2023,article,International Journal of Heat and Mass Transfer,Elsevier BV,10.1016/j.ijheatmasstransfer.2023.124290,15,True,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124290,https://ars.els-cdn.com/content/image/1-s2.0-S0017931023004428-ga1_lrg.jpg,https://openalex.org/W4378188357,"Machine learning (ML)-assisted modelling of deep geological repositories (DGR) is of emerging interest and can help to improve the safe and reliable operation of DGRs as well as the public acceptance. Here, a concept of ML-assisted physical-based 3D heat transport model for the Full-scale Emplacement (FE) experiment performed at Mont Terri Underground Laboratory (URL), is presented. The FE experiment is a 1:1 scale mock-up of a DGR tunnel where heaters simulate emplaced high level waste. ML is applied to sparse sensor data of the water saturation degree in the granulated bentonite material (GBM) yielding a physically and neural network (NN) based surrogate model for the thermal conductivity of the GBM, needed to calculate the temperature evolution in the FE tunnel near-field. In order to investigate the dominant parameters influencing the temperature evolution in the vicinity of the FE experiment, the results of 32 orthogonal test cases have been analysed systematically. For the ML predicted water saturation degree, three NN methods are tested. The Elman NN (with a Pearson's r coefficient of 0.9911, a mean squared error (MSE) of 4.62, and mean absolute error (MAE) of 1.44) operates better than the back propagation (BP) and cascade BP (CBP) NN methods. Results of ML-assisted heat transport calculations are validated with the large experimental dataset of 137 × 10 temperature sensor data points (errors range within 7%). Parameters uncertainty ranges of ±10% for thermal conductivities of the GBM λGBM and bentonite block λblock are analysed and bands of temperature uncertainties are compared with temperature sensor data, which allows sensor data assessment including identification of the faulty sensor data. The ML-assisted physical modelling framework can be applied to future DGRs."
13.33,"Q1,Q4,Q5",Depletion numerical methods,The SCALE Analysis Sequence for LWR Fuel Depletion,O.W. Hermann; C.V. Parks,1991,article,University of North Texas Digital Library (University of North Texas),University of North Texas,,2,True,https://digital.library.unt.edu/ark:/67531/metadc1097426/,https://digital.library.unt.edu/ark:/67531/metadc1097426/,https://openalex.org/W1604614983,"The SCALE (Standardized Computer Analyses for Licensing Evaluation) code system is used extensively to perform away-from-reactor safety analysis (particularly criticality safety, shielding, heat transfer analyses) for spent light water reactor (LWR) fuel. Spent fuel characteristics such as radiation sources, heat generation sources, and isotopic concentrations can be computed within SCALE using the SAS2 control module. A significantly enhanced version of the SAS2 control module, which is denoted as SAS2H, has been made available with the release of SCALE-4. For each time-dependent fuel composition, SAS2H performs one-dimensional (1-D) neutron transport analyses (via XSDRNPM-S) of the reactor fuel assembly using a two-part procedure with two separate unit-cell-lattice models. The cross sections derived from a transport analysis at each time step are used in a point-depletion computation (via ORIGEN-S) that produces the burnup-dependent fuel composition to be used in the next spectral calculation. A final ORIGEN-S case is used to perform the complete depletion/decay analysis using the burnup-dependent cross sections. The techniques used by SAS2H and two recent applications of the code are reviewed in this paper. 17 refs., 5 figs., 5 tabs."
13.31,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9",Neutron-source optimization; Stiff reaction-network surrogates,Bayesian inverse uncertainty quantification of the physical model parameters for the spallation neutron source first target station,Majdi I. Radaideh; Lianshan Lin; Hao Jiang; Sarah Cousineau,2022,article,Results in Physics,Elsevier BV,10.1016/j.rinp.2022.105414,14,True,https://doi.org/10.1016/j.rinp.2022.105414,https://www.sciencedirect.com/science/article/pii/S2211379722001759/pdf,https://openalex.org/W4220859763,"The reliability of the mercury spallation target is mission-critical for the neutron science program of the spallation neutron source at the Oak Ridge National Laboratory. We present an inverse uncertainty quantification (UQ) study using the Bayesian framework for the mercury equation of state model parameters, with the assistance of polynomial chaos expansion surrogate models. By leveraging high-fidelity structural mechanics simulations and real measured strain data, the inverse UQ results reveal a tight posterior distribution for the tensile cutoff threshold, the mercury density, and the mercury speed of sound. The updated distributions do not necessarily represent the nominal mercury physical properties, but the ones that fit the strain data and the solid mechanics model we have used, and can be explained by three reasons. First, the limitations of the computer model or what is known as the “model-form uncertainty” that would result from numerical methods and physical approximations. Second, is the biases and errors in the experimental data. Third, is the mercury cavitation damage that also contributes to the change in mercury behavior. Consequently, the mercury equation of state model parameters try to compensate for these effects to improve fitness to the real data. The mercury target simulations using the posterior parametric values result in an excellent agreement with 88% average accuracy compared to experimental data, 6% average increase compared to reference parameters, with some sensors experiencing an increase of more than 25%. With a more accurate strain response predicted by the calibrated simulations, the component fatigue analysis can utilize the comprehensive strain history data to evaluate the target vessel’s lifetime closer to its real limit, saving tremendous target cost and improving the design of future targets as well."
13.31,"Q1,Q10,Q4,Q5",Depletion numerical methods; Depletion solver validation,Development of ORIGEN libraries for mixed oxide (MOX) fuel assembly designs,Ugur Mertyurek; Ian C Gauld,2015,article,Nuclear Engineering and Design,Elsevier BV,10.1016/j.nucengdes.2015.11.027,14,True,https://doi.org/10.1016/j.nucengdes.2015.11.027,https://www.osti.gov/biblio/1286852,https://openalex.org/W2214460348,
13.31,"Q1,Q2,Q7,Q9",Neutron-source optimization,Using physical property surrogate models to perform accelerated multi-fidelity optimization of force field parameters,Owen Madin; Michael R. Shirts,2023,article,Digital Discovery,Royal Society of Chemistry,10.1039/d2dd00138a,14,True,https://doi.org/10.1039/d2dd00138a,https://pubs.rsc.org/en/content/articlepdf/2023/dd/d2dd00138a,https://openalex.org/W4375810057,"Accurate representations of van der Waals dispersion-repulsion interactions play an important role in high-quality molecular dynamics simulations. Training the force field parameters used in the Lennard Jones (LJ) potential typically used to represent these interactions is challenging, generally requiring adjustment based on simulations of macroscopic physical properties. The large computational expense of these simulations, especially when many parameters must be trained simultaneously, limits the size of training data set and number of optimization steps that can be taken, often requiring modelers to perform optimizations within a local parameter region. To allow for more global LJ parameter optimization against large training sets, we introduce a multi-fidelity optimization technique which uses Gaussian process surrogate modeling to build inexpensive models of physical properties as a function of LJ parameters. This approach allows for fast evaluation of approximate objective functions, greatly accelerating searches over parameter space and enabling the use of optimization algorithms capable of searching more globally. In this study, we use an iterative framework which performs global optimization with differential evolution at the surrogate level, followed by validation at the simulation level and surrogate refinement. Using this technique on two previously studied training sets, containing up to 195 physical property targets, we refit a subset of the LJ parameters for the OpenFF 1.0.0 (Parsley) force field. We demonstrate that this multi-fidelity technique can find improved parameter sets compared to a purely simulation-based optimization by searching more broadly and escaping local minima. Additionally, this technique often finds significantly different parameter minima that have comparably accurate performance. In most cases, these parameter sets are transferable to other similar molecules in a test set. Our multi-fidelity technique provides a platform for rapid, more global optimization of molecular models against physical properties, as well as a number of opportunities for further refinement of the technique."
13.27,"Q5,Q6,Q7,Q8,Q9",Nuclear depletion ML surrogates,Trends and perspectives in Nuclear Forensic Science,Zsolt Varga; Maria Wallenius; Michael Krachler; N. Rauff-Nisthar; Lorenzo Fongaro; Alexander Knott; et al.,2021,article,TrAC Trends in Analytical Chemistry,Elsevier BV,10.1016/j.trac.2021.116503,63,True,https://doi.org/10.1016/j.trac.2021.116503,https://www.sciencedirect.com/science/article/pii/S0165993621003265/pdf,https://openalex.org/W4200011951,"Nuclear Forensics is a rapidly evolving field with a steadily increasing number of publications. Research in developing or consolidating signatures and methods in various analytical areas, such as elemental and isotopic parameters, age dating and morphology have resulted in significant progress. Moreover, the development of new reference materials for uranium ore concentrate, the application of micro-analytical techniques and the increasing use of data evaluation techniques such as machine learning or deep learning further add to the nuclear forensic toolbox. The examination of samples from real incidents demonstrate the usefulness and the investigative value of nuclear forensic techniques."
